binomial_name,country,continent,group,year_last_seen,red_list_category,threat_type,threatened
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Geological Events,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Invasive Species,1
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,Extinct,Transportation Corridor,1
Acer hilaense,China,Asia,Flowering Plant,1920-1939,Extinct in the Wild,Commercial Development,1
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Achyranthes atollensis,United States,North America,Flowering Plant,1960-1979,Extinct,Invasive Species,1
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Invasive Species,1
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Geological Events,1
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,Extinct,Unknown,1
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Transportation Corridor,1
Aeranthes africana,Zimbabwe,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Biological Resource Use,1
Aeranthes albidiflora,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Agriculture & Aquaculture,1
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Biological Resource Use,1
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Aetheolaena hypoleuca,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Aetheolaena ledifolia,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Aetheolaena pichinchensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Agave lurida,Mexico,North America,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Agelanthus rondensis,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,Extinct in the Wild,Agriculture & Aquaculture,1
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,Extinct in the Wild,Commercial Development,1
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Agriculture & Aquaculture,1
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Biological Resource Use,1
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Natural System Modifications,1
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,Extinct,Invasive Species,1
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,Extinct,Climate Change,1
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,Extinct,Geological Events,1
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Natural System Modifications,1
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Geological Events,1
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Climate Change,1
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Agriculture & Aquaculture,1
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Energy Production & Mining,1
Amsinckia marginata,Ecuador,South America,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Andropogon benthamianus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Angraecum potamophilum,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Natural System Modifications,1
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Anisopappus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Anisophyllea impressinervia,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Natural System Modifications,1
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Argocoffeopsis lemblinii,Côte d'Ivoire,Africa,Flowering Plant,1900-1919,Extinct,Unknown,1
Argyroxiphium virescens,United States,North America,Flowering Plant,1980-1999,Extinct,Unknown,1
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Invasive Species,1
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Climate Change,1
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Natural System Modifications,1
Aspidostemon inconspicuus,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Aster quitensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Astragalus nitidiflorus,Spain,Europe,Flowering Plant,1900-1919,Extinct,Unknown,1
Athanasia imbricata,South Africa,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Athanasia imbricata,South Africa,Africa,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Baccharis fusca,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Basananthe cupricola,Congo,Africa,Flowering Plant,1980-1999,Extinct,Energy Production & Mining,1
Baudouinia capuronii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Begonia cladocarpoides,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Begonia eciliata,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Begonia eciliata,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Begonia eciliata,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Energy Production & Mining,1
Begonia eiromischa,Malaysia,Asia,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Begonia eiromischa,Malaysia,Asia,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Beilschmiedia neoletestui,Gabon,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Beilschmiedia pellegrinii,Gabon,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Beilschmiedia thollonii,Gabon,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Beilschmiedia yangambiensis,Congo,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Benthamia catatiana,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Benthamia catatiana,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Energy Production & Mining,1
Benthamia nigro-vaginata,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Benthamia nigro-vaginata,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Berlinia hollandii,Nigeria,Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Berlinia hollandii,Nigeria,Africa,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Betula gynoterminalis,China,Asia,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Bidens ruyigiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Blepharis reekmansii,Burundi,Africa,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Blotiella coriacea,Tanzania,Africa,Ferns and Allies,1960-1979,Extinct,Agriculture & Aquaculture,1
Blutaparon rigidum,Ecuador,South America,Flowering Plant,1900-1919,Extinct,Invasive Species,1
Breonia membranacea,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Breonia membranacea,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Breonia membranacea,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Breonia richardsonii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Breonia richardsonii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Brieya latipetala,Angola,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Brieya latipetala,Angola,Africa,Flowering Plant,1940-1959,Extinct,Human Intrusions,1
Brighamia insignis,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Commercial Development,1
Brighamia insignis,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Brighamia insignis,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,1
Brighamia insignis,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Geological Events,1
Bromus bromoideus,Belgium,Europe,Flowering Plant,1920-1939,Extinct in the Wild,Agriculture & Aquaculture,1
Bromus bromoideus,Belgium,Europe,Flowering Plant,1920-1939,Extinct in the Wild,Pollution,1
Bromus interruptus,United Kingdom,Europe,Flowering Plant,1960-1979,Extinct in the Wild,Agriculture & Aquaculture,1
Brugmansia arborea,Peru,South America,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Brugmansia aurea,Colombia,South America,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Brugmansia insignis,Peru,South America,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Brugmansia sanguinea,Peru,South America,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Brugmansia suaveolens,Brazil,South America,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Brugmansia versicolor,Ecuador,South America,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Brugmansia vulcanicola,Colombia,South America,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Bulbophyllum conchophyllum,Indonesia,Oceania,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Bulbophyllum conchophyllum,Indonesia,Oceania,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Bulbophyllum conchophyllum,Indonesia,Oceania,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Bulbophyllum conchophyllum,Indonesia,Oceania,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Bulbophyllum erythroglossum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Bulbophyllum hirsutiusculum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Bulbophyllum minax,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Bulbophyllum minax,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Bulbophyllum sanguineum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Bulbophyllum sanguineum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Bulbophyllum sceliphron,Papua New Guinea,Oceania,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Bulbophyllum sceliphron,Papua New Guinea,Oceania,Flowering Plant,1980-1999,Extinct,Biological Resource Use,1
Bulbophyllum sceliphron,Papua New Guinea,Oceania,Flowering Plant,1980-1999,Extinct,Climate Change,1
Bulbophyllum sceliphron,Papua New Guinea,Oceania,Flowering Plant,1980-1999,Extinct,Natural System Modifications,1
Bulbophyllum tampoketsense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Bulbophyllum tampoketsense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Byttneria ivorensis,Côte d'Ivoire,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Callerya neocaledonica,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Callerya neocaledonica,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Callerya neocaledonica,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Climate Change,1
Callerya neocaledonica,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Natural System Modifications,1
Camellia amplexicaulis,Viet Nam,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,1
Campomanesia lundiana,Brazil,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Camptocarpus cornutus,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Canavalia veillonii,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Canavalia veillonii,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Climate Change,1
Canavalia veillonii,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Natural System Modifications,1
Capparis grandidieri,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Capparis grandidieri,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Capparis lucens,Rwanda,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Capparis lucens,Rwanda,Africa,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Casearia quinduensis,Colombia,South America,Flowering Plant,NA,Extinct,Unknown,1
Casearia tinifolia,Mauritius,Africa,Flowering Plant,1960-1979,Extinct,Unknown,1
Centaurea pseudoleucolepis,Ukraine,Europe,Flowering Plant,1920-1939,Extinct,Unknown,1
Centropogon brachysiphoniatus,Ecuador,South America,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Centropogon brachysiphoniatus,Ecuador,South America,Flowering Plant,1920-1939,Extinct,Invasive Species,1
Centropogon brachysiphoniatus,Ecuador,South America,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Ceratostema pensile,Ecuador,South America,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Ceratostema pensile,Ecuador,South America,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Cereus estevesii,Brazil,South America,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Cestrum flavescens,Mexico,North America,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Cestrum flavinervium,Mexico,North America,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Cestrum flavinervium,Mexico,North America,Flowering Plant,1920-1939,Extinct,Climate Change,1
Cestrum flavinervium,Mexico,North America,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Chassalia coursii,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Chassalia coursii,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Chrysophyllum januariense,Brazil,South America,Flowering Plant,NA,Extinct,Commercial Development,1
Cinnamomum bhamoensis,Myanmar,Asia,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Cinnamomum bhamoensis,Myanmar,Asia,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Cinnamomum bhamoensis,Myanmar,Asia,Flowering Plant,1900-1919,Extinct,Transportation Corridor,1
Cinnamomum englerianum,Papua New Guinea,Oceania,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Cinnamomum gracillimum,Indonesia,Oceania,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Cinnamomum longipedicellatum,Papua New Guinea,Oceania,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Cinnamomum pachypes,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Cinnamomum petiolatum,Indonesia,Oceania,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Cinnamomum petiolatum,Indonesia,Oceania,Flowering Plant,1960-1979,Extinct,Energy Production & Mining,1
Cinnamomum rosselianum,Papua New Guinea,Oceania,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Cinnamomum trintaense,Malaysia,Asia,Flowering Plant,Before 1900,Extinct,Energy Production & Mining,1
Clermontia multiflora,United States,North America,Flowering Plant,Before 1900,Extinct,Unknown,1
Clitoria andrei,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Cloiselia humbertii,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Cnidoscolus fragrans,Cuba,North America,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Coffea alleizettii,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Biological Resource Use,1
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Commercial Development,1
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Energy Production & Mining,1
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Transportation Corridor,1
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Commidendrum gummiferum,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,NA,Extinct,Unknown,1
Corypha taliera,India,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,1
Costus vinosus,Panama,North America,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Cotula myriophylloides,South Africa,Africa,Flowering Plant,1960-1979,Extinct,Commercial Development,1
