binomial_name,country,continent,group,year_last_seen,red_list_category,threat_type,threatened
Peponidium ihosyense,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Peponidium ihosyense,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Philodendron balaoanum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Phycodrina elegans,Ecuador,South America,Algae,1960-1979,Extinct,Climate Change,1
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Energy Production & Mining,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Phyllanthus mimicus,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Phyllanthus mimicus,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Phyllostegia kahiliensis,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Phyllostegia knudsenii,United States,North America,Flowering Plant,2000-2020,Extinct,Invasive Species,1
Phyllostegia mannii,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Phyllostegia mannii,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,1
Phyllostegia mannii,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Natural System Modifications,1
Physalis muelleri,Mexico,North America,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Physalis tehuacanensis,Mexico,North America,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Physalis tehuacanensis,Mexico,North America,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Physalis tehuacanensis,Mexico,North America,Flowering Plant,1960-1979,Extinct,Climate Change,1
Pimpinella robynsii,Burundi,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Piper molliusculum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Pittosporum leroyanum,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Unknown,1
Plectranthus scopulicola,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Pluchea glutinosa,Yemen,Asia,Flowering Plant,Before 1900,Extinct,Unknown,1
Podocarpus perrieri,Madagascar,Africa,Conifer,1940-1959,Extinct,Agriculture & Aquaculture,1
Podocarpus perrieri,Madagascar,Africa,Conifer,1940-1959,Extinct,Biological Resource Use,1
Polygala quitensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Polystachya acuminata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Polystachya acuminata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Polystachya canaliculata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Polystachya canaliculata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Polystachya erica-lanzae,Rwanda,Africa,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Polystachya erica-lanzae,Rwanda,Africa,Flowering Plant,1980-1999,Extinct,Human Intrusions,1
Polystachya porphyrochila,Tanzania,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Polystachya rugosilabia,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Pouteria stenophylla,Brazil,South America,Flowering Plant,NA,Extinct,Commercial Development,1
Pradosia argentea,Peru,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Pradosia glaziovii,Brazil,South America,Flowering Plant,NA,Extinct,Agriculture & Aquaculture,1
Pradosia glaziovii,Brazil,South America,Flowering Plant,NA,Extinct,Biological Resource Use,1
Pradosia glaziovii,Brazil,South America,Flowering Plant,NA,Extinct,Commercial Development,1
Pradosia mutisii,Colombia,South America,Flowering Plant,NA,Extinct,Unknown,1
Premna aureolepidota,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Premna aureolepidota,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Prestonia schumanniana,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Psiadia schweinfurthii,Yemen,Asia,Flowering Plant,Before 1900,Extinct,Unknown,1
Psidium dumetorum,Jamaica,North America,Flowering Plant,1960-1979,Extinct,Unknown,1
Psychotria veillonii,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Energy Production & Mining,1
Pterospermum elmeri,Philippines,Asia,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Pterospermum havilandii,Malaysia,Asia,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Pterospermum havilandii,Malaysia,Asia,Flowering Plant,Before 1900,Extinct in the Wild,Energy Production & Mining,1
Pterospermum havilandii,Malaysia,Asia,Flowering Plant,Before 1900,Extinct in the Wild,Natural System Modifications,1
Pterospermum parvifolium,Indonesia,Asia,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Puccinellia gussonei,Italy,Europe,Flowering Plant,2000-2020,Extinct,Invasive Species,1
Pycnandra micrantha,New Caledonia,Oceania,Flowering Plant,1900-1919,Extinct,Energy Production & Mining,1
Pycnandra micrantha,New Caledonia,Oceania,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Rauvolfia nukuhivensis,French Polynesia,Oceania,Flowering Plant,2000-2020,Extinct,Unknown,1
Rhamnus mildbraedii,Rwanda,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Rhipidoglossum orientalis,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Rhododendron kanehirai,Taiwan,Asia,Flowering Plant,1980-1999,Extinct in the Wild,Natural System Modifications,1
Rhododendron wilhelminae,Indonesia,Asia,Flowering Plant,1900-1919,Extinct,Climate Change,1
Rhynchosia braunii,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Rhynchosia calobotrya,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Rhynchosia ledermannii,Cameroon,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Rhynchosia ledermannii,Cameroon,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Rhynchospora hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Rhynchospora hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Rhynchospora hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Pollution,1
Ritchiea afzelii,Guinea,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Ritchiea afzelii,Guinea,Africa,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Roupala tobagensis,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Roupala tobagensis,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Sanicula kauaiensis,United States,North America,Flowering Plant,1940-1959,Extinct,Invasive Species,1
Santalum fernandezianum,Chile,South America,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Saurauia minutiflora,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Saurauia minutiflora,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Natural System Modifications,1
Scaphium burkillfilii,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Schiedea amplexicaulis,United States,North America,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Schiedea attenuata,United States,North America,Flowering Plant,1980-1999,Extinct in the Wild,Invasive Species,1
Schiedea attenuata,United States,North America,Flowering Plant,1980-1999,Extinct in the Wild,Geological Events,1
Schizenterospermum analamerense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Schizenterospermum analamerense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Semecarpus angulatus,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Semecarpus sandakanus,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Senecio antaisaka,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Senecio antaisaka,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Senecio antambolorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Senecio antambolorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Senecio antambolorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Senecio leucopeplus,Argentina,South America,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Senecio leucopeplus,Argentina,South America,Flowering Plant,2000-2020,Extinct in the Wild,Human Intrusions,1
Senecio lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Senecio lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,Extinct,Human Intrusions,1
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Senna suarezensis,Madagascar,Africa,Flowering Plant,2000-2020,Extinct,Agriculture & Aquaculture,1
Senna suarezensis,Madagascar,Africa,Flowering Plant,2000-2020,Extinct,Biological Resource Use,1
Sicyos villosus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Silene perlmanii,United States,North America,Flowering Plant,1980-1999,Extinct in the Wild,Invasive Species,1
Siphocampylus loxensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Solanum semicoalitum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Sophora toromiro,Chile,South America,Flowering Plant,1920-1939,Extinct in the Wild,Unknown,1
Sphyrospermum spruceanum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Sporobolus durus,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Sporobolus durus,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Sporobolus durus,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Geological Events,1
Stachyandra imberbis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Stachyandra imberbis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Stachyandra imberbis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Stachytarpheta fallax,Cabo Verde,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Stellaria elatinoides,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Invasive Species,1
Stellaria elatinoides,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Stenocarpus dumbeensis,New Caledonia,Oceania,Flowering Plant,1900-1919,Extinct,Unknown,1
Stenogyne bifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Stenogyne bifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,1
Stenogyne bifida,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Geological Events,1
Stenogyne campanulata,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Stenogyne kanehoana,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Stenogyne kanehoana,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,1
Stenogyne kanehoana,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Natural System Modifications,1
Sterculia khasiana,India,Asia,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Sterculia khasiana,India,Asia,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Sterculia khasiana,India,Asia,Flowering Plant,Before 1900,Extinct,Natural System Modifications,1
Stereospermum zenkeri,Cameroon,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Steriphoma urbani,Ecuador,South America,Flowering Plant,1980-1999,Extinct,Biological Resource Use,1
Stonesia fascicularis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Stonesia fascicularis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Stonesia fascicularis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Stonesia fascicularis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Pollution,1
Stonesia gracilis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Stonesia gracilis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Pollution,1
Stonesia gracilis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Streblorrhiza speciosa,Norfolk Island,Oceania,Flowering Plant,Before 1900,Extinct,Unknown,1
Syzygium badescens,Malaysia,Asia,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Syzygium badescens,Malaysia,Asia,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Tachiadenus umbellatus,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Tachiadenus umbellatus,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Energy Production & Mining,1
Tachiadenus umbellatus,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Human Intrusions,1
Taeniophyllum borneense,Indonesia,Asia,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Taeniophyllum borneense,Indonesia,Asia,Flowering Plant,1900-1919,Extinct,Climate Change,1
Taeniophyllum borneense,Indonesia,Asia,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Tephrosia djalonica,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Tephrosia djalonica,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Tephrosia djalonica,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Tephrosia pinifolia,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Tephrosia pinifolia,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Terminalia acuminata,Brazil,South America,Flowering Plant,1940-1959,Extinct in the Wild,Unknown,1
Terminalia exelliana,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Tetramolopium capillare,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Tetramolopium capillare,United States,North America,Flowering Plant,1980-1999,Extinct,Climate Change,1
Tetramolopium capillare,United States,North America,Flowering Plant,1980-1999,Extinct,Natural System Modifications,1
Tetramolopium capillare,United States,North America,Flowering Plant,1980-1999,Extinct,Geological Events,1
Thelethylax isalensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Energy Production & Mining,1
Thelethylax isalensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Human Intrusions,1
Thelethylax isalensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Pollution,1
Thelethylax isalensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Themistoclesia inflata,Ecuador,South America,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Themistoclesia inflata,Ecuador,South America,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Thesium germainii,Burundi,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Thesium germainii,Burundi,Africa,Flowering Plant,1940-1959,Extinct,Human Intrusions,1
Thesium lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Thesium lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Tournefortia obtusiflora,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Triaspis schliebenii,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Tridactyle sarcodantha,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Trilepidea adamsii,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Trilepidea adamsii,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Trilepidea adamsii,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Trilepidea adamsii,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Invasive Species,1
Trochetiopsis erythroxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,1940-1959,Extinct in the Wild,Agriculture & Aquaculture,1
Trochetiopsis erythroxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,1940-1959,Extinct in the Wild,Biological Resource Use,1
Trochetiopsis erythroxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,1940-1959,Extinct in the Wild,Invasive Species,1
Trochetiopsis erythroxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,1940-1959,Extinct in the Wild,Unknown,1
Trochetiopsis melanoxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Trochetiopsis melanoxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Trochetiopsis melanoxylon,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Tylostigma herminioides,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Tylostigma herminioides,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Human Intrusions,1
Tylostigma madagascariense,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Tylostigma madagascariense,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Tylostigma madagascariense,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Human Intrusions,1
Uvaria decidua,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Uvaria decidua,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Valerianella affinis,Yemen,Asia,Flowering Plant,Before 1900,Extinct,Unknown,1
Vangueria verticillata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Vanvoorstia bennettiana,Australia,Oceania,Algae,Before 1900,Extinct,Biological Resource Use,1
Vanvoorstia bennettiana,Australia,Oceania,Algae,Before 1900,Extinct,Commercial Development,1
Vanvoorstia bennettiana,Australia,Oceania,Algae,Before 1900,Extinct,Pollution,1
Vanvoorstia bennettiana,Australia,Oceania,Algae,Before 1900,Extinct,Transportation Corridor,1
Vatica xishuangbannaensis,China,Asia,Flowering Plant,NA,Extinct,Agriculture & Aquaculture,1
Vernonia ampandrandavensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Vernonia ampandrandavensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Vernonia ampandrandavensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Vernonia sechellensis,Seychelles,Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Viburnum divaricatum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Viola cryana,France,Europe,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Viola cryana,France,Europe,Flowering Plant,1920-1939,Extinct,Energy Production & Mining,1
Wahlenbergia petraea,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Weinmannia spiraeoides,Fiji,Oceania,Flowering Plant,Before 1900,Extinct,Unknown,1
Wendlandia angustifolia,India,Asia,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Wendlandia angustifolia,India,Asia,Flowering Plant,1980-1999,Extinct,Biological Resource Use,1
Wendlandia angustifolia,India,Asia,Flowering Plant,1980-1999,Extinct,Commercial Development,1
Wikstroemia hanalei,United States,North America,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Wikstroemia skottsbergiana,United States,North America,Flowering Plant,2000-2020,Extinct,Invasive Species,1
Wikstroemia skottsbergiana,United States,North America,Flowering Plant,2000-2020,Extinct,Geological Events,1
Wikstroemia skottsbergiana,United States,North America,Flowering Plant,2000-2020,Extinct,Unknown,1
Xanthostemon sebertii,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Unknown,1
Xylopia capuronii,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Xylopia capuronii,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Xylosma serrata,Montserrat,North America,Flowering Plant,1980-1999,Extinct,Geological Events,1
Zanthoxylum subspicatum,Madagascar,Africa,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Zanthoxylum subspicatum,Madagascar,Africa,Flowering Plant,1980-1999,Extinct,Biological Resource Use,1
Zingiber macrocephalum,Indonesia,Asia,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Zingiber macrocephalum,Indonesia,Asia,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Zingiber macrocephalum,Indonesia,Asia,Flowering Plant,Before 1900,Extinct,Commercial Development,1
